group,condition,seed,name,id,state,runtime_h,n_evals,last_step,last_score,max_score,mean_last5,created_at
archive,archive,ARCHIVE_hrvq_atari100k_pong_seed_random,ARCHIVE/hrvq/atari100k/pong/seed_random,sa294gkp,finished,48.35,10,557887,21.0,21.0,18.04,2026-04-01T10:27:27Z
breakout,baseline,seed0,hrvq/atari100k/breakout/seed0,14j93vys,finished,35.3,10,58795,18.5,48.95,34.038,2026-04-11T14:56:04Z
breakout,baseline,seed1,hrvq/atari100k/breakout/seed1,uk9zicco,finished,40.14,10,58931,33.74,33.74,25.964,2026-04-09T17:28:21Z
breakout,baseline,seed2,hrvq/atari100k/breakout/seed2,uiarfzfk,finished,44.21,10,58895,55.83,55.83,35.62,2026-04-09T17:48:48Z
breakout,baseline,seed3,hrvq/atari100k/breakout/seed3,l520nab1,finished,36.03,10,58871,54.5,61.02,44.284,2026-04-09T17:54:33Z
breakout,baseline,seed4,hrvq/atari100k/breakout/seed4,qsf9h5v5,finished,27.51,10,58969,26.27,35.94,30.012,2026-04-13T12:15:36Z
breakout,baseline,seed5,hrvq/atari100k/breakout/seed5,6fo5di7m,finished,36.39,10,58923,34.0,103.07,53.362,2026-04-13T12:22:05Z
pong,baseline,seed0,hrvq/atari100k/pong/seed0,23rdl3aq,finished,26.77,10,58007,15.92,15.92,3.66,2026-04-11T11:26:50Z
pong,baseline,seed1,hrvq/atari100k/pong/seed1,zfswtji1,finished,39.83,10,57777,18.85,18.87,15.22,2026-04-04T11:46:32Z
pong,baseline,seed2,hrvq/atari100k/pong/seed2,wqk2dmi2,failed,63.2,10,58037,10.08,18.16,13.146,2026-04-06T18:48:44Z
pong,baseline,seed3,hrvq/atari100k/pong/seed3,abxq8ux7,finished,30.46,10,58237,21.0,21.0,18.114,2026-04-04T11:06:30Z
pong,baseline,seed4,hrvq/atari100k/pong/seed4,3vbuwx42,failed,90.89,10,57721,4.1,4.1,0.23,2026-04-06T18:48:43Z
pong,baseline,seed5,hrvq/atari100k/pong/seed5,jkqb9id5,finished,25.14,10,57939,20.51,20.51,16.016,2026-04-13T12:12:12Z
transfer,freeze-L0,seed0,transfer/pongto/breakout/freeze-L0/seed0,zra36y2b,finished,32.72,10,58911,35.66,35.66,27.312,2026-04-16T12:36:55Z
transfer,freeze-L0,seed1,transfer/pongto/breakout/freeze-L0/seed1,gbgpgli6,finished,79.23,10,58877,153.95,153.95,64.378,2026-04-15T14:42:14Z
transfer,freeze-L0,seed2,transfer/pongto/breakout/freeze-L0/seed2,mfgwpp8s,finished,25.46,10,58815,41.3,48.95,42.242,2026-04-15T15:00:07Z
transfer,freeze-L01,seed0,transfer/pongto/breakout/freeze-L01/seed0,6i1jn4fi,finished,29.68,10,58875,19.42,43.64,32.44,2026-04-16T12:39:45Z
transfer,freeze-L01,seed1,transfer/pongto/breakout/freeze-L01/seed1,vkgk6jcs,finished,28.76,10,58851,48.92,49.66,40.418,2026-04-16T12:54:16Z
transfer,freeze-L01,seed2,transfer/pongto/breakout/freeze-L01/seed2,ju35znco,finished,28.73,10,58923,43.94,43.94,31.688,2026-04-16T12:58:26Z
transfer,freeze-L012,seed0,transfer/pongto/breakout/freeze-L012/seed0,j97raddy,finished,28.39,10,58933,56.91,83.33,46.284,2026-04-16T17:37:48Z
transfer,freeze-L012,seed1,transfer/pongto/breakout/freeze-L012/seed1,bk9xenbs,finished,55.03,10,58985,19.93,21.72,19.058,2026-04-17T08:25:22Z
transfer,freeze-L012,seed2,transfer/pongto/breakout/freeze-L012/seed2,qwq1oqmn,finished,42.1,10,58963,25.98,28.95,23.898,2026-04-18T10:53:23Z
transfer,freeze-all,seed0,transfer/pongto/breakout/freeze-all/seed0,liivlr1p,finished,32.49,10,58849,48.71,48.71,36.146,2026-04-18T11:02:21Z
transfer,freeze-all,seed1,transfer/pongto/breakout/freeze-all/seed1,e0difmo5,finished,41.23,10,59003,24.98,26.51,18.014,2026-04-18T11:02:35Z
transfer,freeze-all,seed2,transfer/pongto/breakout/freeze-all/seed2,ydr9e4ye,finished,36.01,10,58969,23.08,24.41,19.258,2026-04-18T11:04:11Z
transfer,freeze-enc,seed0,transfer/pongto/breakout/freeze-enc/seed0,gheoke7c,finished,29.09,10,58849,39.74,85.51,41.08,2026-04-17T10:24:56Z
transfer,freeze-enc,seed1,transfer/pongto/breakout/freeze-enc/seed1,jm0r9rhf,finished,33.73,10,58971,23.7,23.7,21.6,2026-04-18T10:53:52Z
transfer,freeze-enc,seed2,transfer/pongto/breakout/freeze-enc/seed2,1io1zioy,finished,29.59,10,58885,75.08,111.72,54.296,2026-04-18T10:57:10Z
transfer,warmstart,seed0,transfer/pongto/breakout/warmstart/seed0,brazn5sf,finished,29.55,10,58863,39.2,39.2,33.186,2026-04-15T14:06:57Z
transfer,warmstart,seed1,transfer/pongto/breakout/warmstart/seed1,ajb4ydp1,finished,24.87,10,58931,31.24,31.24,26.33,2026-04-15T14:14:40Z
transfer,warmstart,seed2,transfer/pongto/breakout/warmstart/seed2,qn00lpp7,finished,37.84,10,58949,28.67,28.67,18.204,2026-04-15T14:19:43Z
