condition,seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
freeze-L0,seed0,finished,10,58911,35.66,35.66,27.312,3.96,8.27,15.01,19.8,20.9,18.79,30.14,24.8,27.17,35.66
freeze-L0,seed1,finished,10,58877,153.95,153.95,64.378,4.44,18.11,21.29,20.37,95.58,108.86,15.7,22.1,21.28,153.95
freeze-L0,seed2,finished,10,58815,41.3,48.95,42.242,4.53,8.34,17.94,25.13,30.86,41.54,33.2,48.95,46.22,41.3
freeze-L01,seed0,finished,10,58875,19.42,43.64,32.44,2.66,11.3,19.1,26.45,28.66,32.69,34.42,43.64,32.03,19.42
freeze-L01,seed1,finished,10,58851,48.92,49.66,40.418,5.76,15.84,19.06,20.9,29.7,31.33,34.57,49.66,37.61,48.92
freeze-L01,seed2,finished,10,58923,43.94,43.94,31.688,1.54,5.61,10.28,16.16,20.49,22.72,27.53,32.69,31.56,43.94
freeze-L012,seed0,finished,10,58933,56.91,83.33,46.284,5.35,7.01,25.0,24.84,30.08,33.67,83.33,29.05,28.46,56.91
freeze-L012,seed1,finished,10,58985,19.93,21.72,19.058,0.0,2.16,4.55,4.49,9.25,14.13,18.32,21.19,21.72,19.93
freeze-L012,seed2,finished,10,58963,25.98,28.95,23.898,2.57,4.6,5.97,13.0,20.24,21.76,20.03,22.77,28.95,25.98
freeze-all,seed0,finished,10,58849,48.71,48.71,36.146,5.35,7.65,16.6,20.8,26.18,29.79,28.76,44.22,29.25,48.71
freeze-all,seed1,finished,10,59003,24.98,26.51,18.014,3.57,0.0,0.0,6.48,9.85,11.96,11.68,14.94,26.51,24.98
freeze-all,seed2,finished,10,58969,23.08,24.41,19.258,3.04,4.16,8.21,12.57,11.93,9.99,16.07,22.74,24.41,23.08
freeze-enc,seed0,finished,10,58849,39.74,85.51,41.08,5.97,11.5,20.84,23.82,20.9,23.1,85.51,25.47,31.58,39.74
freeze-enc,seed1,finished,10,58971,23.7,23.7,21.6,3.28,6.25,9.94,11.6,13.97,23.4,19.68,20.32,20.9,23.7
freeze-enc,seed2,finished,10,58885,75.08,111.72,54.296,10.82,10.03,23.63,23.57,18.18,31.49,23.95,111.72,29.24,75.08
warmstart,seed0,finished,10,58863,39.2,39.2,33.186,5.94,12.35,11.12,18.99,23.81,29.25,29.7,31.1,36.68,39.2
warmstart,seed1,finished,10,58931,31.24,31.24,26.33,5.36,8.29,12.72,15.42,19.36,19.86,22.71,26.86,30.98,31.24
warmstart,seed2,finished,10,58949,28.67,28.67,18.204,2.25,4.53,9.26,15.2,21.74,22.49,16.55,0.0,23.31,28.67
